Symbol,ID,CNT1,CNT2,CNT3,CNT4,CNT5,CNT6,CNT7,CNT8,CNT9,CNT10,CASE1,CASE2,CASE3,CASE4,CASE5,CASE6,CASE7,CASE8,CASE9,CASE10
Group,GR2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
CHI3L1,hsa1116,2597.0489,13284.8878,7981.728929,16754.74383,19134.43374,8484.790163,4080.189584,6532.491228,18825.0345,58523.10776,6279.745223,17423.16254,52047.86791,73986.16878,6985.154325,54118.07123,27035.46337,14171.56029,18450.45388,27938.00653
PLAT,hsa5327,649.2543891,595.7822694,1013.245455,436.6318652,653.3557971,659.3539369,829.9265267,495.4445566,864.9411428,722.4129319,884.846034,398.4209428,938.2601509,974.6936862,825.3441787,702.2216803,977.5780986,546.7710813,984.133379,568.3059624
CLEC11A,hsa6320,370.7652204,754.9266432,884.9362169,831.8297598,1428.853799,1357.197277,685.6270118,1034.344824,992.2252593,1090.212581,728.7366518,678.7941579,1064.927494,970.4872992,1495.99211,883.4123791,898.2270902,1479.905204,797.6128935,1743.842225
CLEC11A.2,hsa6320.2,1539.752559,1986.144597,1357.634877,2041.830037,3082.316714,3197.141135,2038.094935,2495.523977,3387.176874,2619.946625,2690.386916,1864.696736,1785.868107,2189.048276,3956.558427,1903.164312,3089.311723,3669.76126,2450.419962,4193.142556
LEP,hsa3952,18807.36187,24250.74733,8281.289879,6001.238708,4338.026985,18606.22935,10928.46999,2602.223082,5721.99146,15494.62535,19735.48983,2460.757682,7515.055909,14214.23117,2767.484218,8883.396426,13296.53067,1746.065613,18386.39518,4971.274882
KNG1,hsa3827,34201.69912,26705.43131,27824.39469,26860.36044,26070.3803,26894.27434,23151.6438,28929.51505,40182.10924,23579.39839,31854.49658,18215.12095,29984.32098,20574.69852,23396.47258,22639.03139,27852.52332,22111.04426,27413.9066,16445.11541
F2,hsa2147,110973.4324,90479.65819,112856.8635,124596.147,95398.77566,109004.0575,139504.2731,129294.6755,97835.37185,104761.5991,115589.6107,89817.84262,117307.7975,100513.3575,107830.7709,95913.34016,106410.6814,109064.6439,96737.54286,84851.15571
RELT,hsa84957,617.4208936,1179.446337,508.1027496,1140.844308,991.4527393,1817.01968,636.6470412,1139.226256,1432.903419,1481.840714,1369.916587,745.3904777,758.6828394,1069.230623,1492.546074,1796.146968,879.2985781,1013.33627,1825.332433,1236.262416
CCL22,hsa6367,526.2171231,1524.095164,839.8917922,574.970948,1249.436299,831.3855693,383.3406333,501.5096503,1046.511476,625.6147603,2034.381141,546.4082178,834.1255471,941.6745234,604.8847739,987.1583011,1286.443964,350.6697926,941.1612932,774.1656279
JAG1,hsa182,209.6362744,270.4895621,309.3248082,267.8091914,368.3717886,220.5413106,251.2534835,200.4618561,265.2677767,267.3988188,229.8660881,237.8983406,412.6627223,236.5556458,342.7857659,225.8865159,256.1552628,333.6334422,294.3972856,334.6825866
FSTL3,hsa10272,7233.743696,6907.741065,3879.140447,5364.215456,6492.349859,8945.749815,4748.46125,6277.1849,6152.146751,6895.201834,6592.768178,2746.507991,5242.182487,6829.006717,7129.653291,8968.769002,5887.733778,4481.665398,10955.39994,6855.739273
FIGF,hsa2277,314.1399608,517.5038127,676.3659341,458.2715415,690.7461364,473.0523538,436.4560678,654.209257,431.0584112,551.9658819,200.8451816,264.9240828,403.5583014,400.1383191,618.0905548,598.3038631,341.7584664,486.9997511,869.0091347,820.2428331
CNDP1,hsa84735,8639.534962,4095.700323,8655.240423,3668.352794,6356.116021,6794.196433,9921.324067,6016.355312,5096.267135,2455.571977,6935.294845,5458.64899,2957.385799,5160.775204,4220.805067,4350.93295,4048.957104,2484.499342,3515.364659,1303.087588
DPT,hsa1805,2512.242524,3124.772457,2135.25536,2509.383308,2866.348597,3776.544584,1734.604977,2850.910516,3450.418577,2389.638012,1978.023871,1454.30946,2452.682501,2441.011681,1995.063407,2450.98948,2017.532832,1758.274371,3500.391115,2966.279042
